startTime,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
2021-02-19T05:00:00+00:00,1613710800000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T06:00:00+00:00,1613714400000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T07:00:00+00:00,1613718000000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T08:00:00+00:00,1613721600000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T09:00:00+00:00,1613725200000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T10:00:00+00:00,1613728800000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T11:00:00+00:00,1613732400000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T12:00:00+00:00,1613736000000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T13:00:00+00:00,1613739600000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
2021-02-19T14:00:00+00:00,1613743200000.0,BTC,BNB,XRP,LTC,LINK,BCH,DOGE,UNI,AAVE,HT,OKB,TRX,SNX,FTT,SOL,GRT,MKR,CEL,COMP,SUSHI,LEO,YFI,REN,MATIC,CRV,RSR,BAL,1INCH,BAND,ALPHA,ASD,SXP,SRM,TOMO,PERP,BADGER,TRU,LINA,MAPS,FIDA
