startTime,BTC
2021-02-19 05:00:00+00:00,51106
2021-02-19 06:00:00+00:00,51473
2021-02-19 07:00:00+00:00,51676
2021-02-19 08:00:00+00:00,51708
2021-02-19 09:00:00+00:00,52194
2021-02-19 10:00:00+00:00,52661
2021-02-19 11:00:00+00:00,52663
2021-02-19 12:00:00+00:00,52686
2021-02-19 13:00:00+00:00,52530
2021-02-19 14:00:00+00:00,52772
2021-02-19 15:00:00+00:00,52920
2021-02-19 16:00:00+00:00,53889
2021-02-19 17:00:00+00:00,54347
2021-02-19 18:00:00+00:00,54793
2021-02-19 19:00:00+00:00,55370
2021-02-19 20:00:00+00:00,55013
2021-02-19 21:00:00+00:00,55344
2021-02-19 22:00:00+00:00,55618
2021-02-19 23:00:00+00:00,55449
2021-02-20 00:00:00+00:00,55937
2021-02-20 01:00:00+00:00,56232
2021-02-20 02:00:00+00:00,56205
2021-02-20 03:00:00+00:00,56186
2021-02-20 04:00:00+00:00,55717
2021-02-20 05:00:00+00:00,55845
2021-02-20 06:00:00+00:00,55704
2021-02-20 07:00:00+00:00,55971
2021-02-20 08:00:00+00:00,55234
2021-02-20 09:00:00+00:00,55244
2021-02-20 10:00:00+00:00,55232
2021-02-20 11:00:00+00:00,55907
2021-02-20 12:00:00+00:00,56345
2021-02-20 13:00:00+00:00,57272
2021-02-20 14:00:00+00:00,57301
2021-02-20 15:00:00+00:00,56369
2021-02-20 16:00:00+00:00,56196
2021-02-20 17:00:00+00:00,56754
2021-02-20 18:00:00+00:00,57088
2021-02-20 19:00:00+00:00,57155
2021-02-20 20:00:00+00:00,57011
2021-02-20 21:00:00+00:00,56766
2021-02-20 22:00:00+00:00,56507
2021-02-20 23:00:00+00:00,55467
2021-02-21 00:00:00+00:00,55899
2021-02-21 01:00:00+00:00,55861
2021-02-21 02:00:00+00:00,56371
2021-02-21 03:00:00+00:00,56340
2021-02-21 04:00:00+00:00,56526
2021-02-21 05:00:00+00:00,56718
2021-02-21 06:00:00+00:00,56566
2021-02-21 07:00:00+00:00,56516
2021-02-21 08:00:00+00:00,56112
2021-02-21 09:00:00+00:00,56543
2021-02-21 10:00:00+00:00,56820
2021-02-21 11:00:00+00:00,57574
2021-02-21 12:00:00+00:00,57302
2021-02-21 13:00:00+00:00,56925
2021-02-21 14:00:00+00:00,57191
2021-02-21 15:00:00+00:00,57427
2021-02-21 16:00:00+00:00,57368
2021-02-21 17:00:00+00:00,57756
2021-02-21 18:00:00+00:00,57531
2021-02-21 19:00:00+00:00,58205
2021-02-21 20:00:00+00:00,58096
2021-02-21 21:00:00+00:00,57690
2021-02-21 22:00:00+00:00,57352
2021-02-21 23:00:00+00:00,57385
2021-02-22 00:00:00+00:00,57483
2021-02-22 01:00:00+00:00,56272
2021-02-22 02:00:00+00:00,56901
2021-02-22 03:00:00+00:00,56897
2021-02-22 04:00:00+00:00,55866
2021-02-22 05:00:00+00:00,55820
2021-02-22 06:00:00+00:00,55890
2021-02-22 07:00:00+00:00,56036
2021-02-22 08:00:00+00:00,56469
2021-02-22 09:00:00+00:00,55467
2021-02-22 10:00:00+00:00,54701
2021-02-22 11:00:00+00:00,54855
2021-02-22 12:00:00+00:00,54513
2021-02-22 13:00:00+00:00,53751
2021-02-22 14:00:00+00:00,51980
2021-02-22 15:00:00+00:00,53650
2021-02-22 16:00:00+00:00,53241
2021-02-22 17:00:00+00:00,53213
2021-02-22 18:00:00+00:00,52067
2021-02-22 19:00:00+00:00,53216
2021-02-22 20:00:00+00:00,53603
2021-02-22 21:00:00+00:00,53821
2021-02-22 22:00:00+00:00,54922
2021-02-22 23:00:00+00:00,54078
2021-02-23 00:00:00+00:00,54075
2021-02-23 01:00:00+00:00,53445
2021-02-23 02:00:00+00:00,52522
2021-02-23 03:00:00+00:00,51158
2021-02-23 04:00:00+00:00,51850
2021-02-23 05:00:00+00:00,50694
2021-02-23 06:00:00+00:00,49900
2021-02-23 07:00:00+00:00,49511
2021-02-23 08:00:00+00:00,49618
2021-02-23 09:00:00+00:00,46479
2021-02-23 10:00:00+00:00,48049
2021-02-23 11:00:00+00:00,47497
2021-02-23 12:00:00+00:00,46373
2021-02-23 13:00:00+00:00,48718
2021-02-23 14:00:00+00:00,48757
2021-02-23 15:00:00+00:00,46902
2021-02-23 16:00:00+00:00,48626
2021-02-23 17:00:00+00:00,47345
2021-02-23 18:00:00+00:00,47138
2021-02-23 19:00:00+00:00,46810
2021-02-23 20:00:00+00:00,45443
2021-02-23 21:00:00+00:00,47808
2021-02-23 22:00:00+00:00,47950
2021-02-23 23:00:00+00:00,48592
2021-02-24 00:00:00+00:00,48903
2021-02-24 01:00:00+00:00,48493
2021-02-24 02:00:00+00:00,50219
2021-02-24 03:00:00+00:00,50203
2021-02-24 04:00:00+00:00,50905
